레벨,SP 증가,누적 SP
99,"100,000,000","5,065,236,579"
100,"100,000,000","5,165,236,579"
101,"100,000,000","5,265,236,579"
102,"100,000,000","5,365,236,579"
103,"100,000,000","5,465,236,579"
104,"100,000,000","5,565,236,579"
105,"100,000,000","5,665,236,579"
106,"100,000,000","5,765,236,579"
107,"100,000,000","5,865,236,579"
108,"100,000,000","5,965,236,579"
109,"100,000,000","6,065,236,579"
110,"100,000,000","6,165,236,579"
111,"100,000,000","6,265,236,579"
112,"100,000,000","6,365,236,579"
113,"100,000,000","6,465,236,579"
114,"100,000,000","6,565,236,579"
115,"100,000,000","6,665,236,579"
116,"100,000,000","6,765,236,579"
117,"100,000,000","6,865,236,579"
118,"100,000,000","6,965,236,579"
119,"100,000,000","7,065,236,579"
120,"100,000,000","7,165,236,579"
121,"100,000,000","7,265,236,579"
122,"100,000,000","7,365,236,579"
123,"100,000,000","7,465,236,579"
124,"100,000,000","7,565,236,579"
125,"100,000,000","7,665,236,579"
126,"100,000,000","7,765,236,579"
127,"100,000,000","7,865,236,579"
128,"100,000,000","7,965,236,579"
129,"100,000,000","8,065,236,579"
130,"100,000,000","8,165,236,579"
131,"100,000,000","8,265,236,579"
132,"100,000,000","8,365,236,579"
133,"100,000,000","8,465,236,579"
134,"100,000,000","8,565,236,579"
135,"100,000,000","8,665,236,579"
136,"100,000,000","8,765,236,579"
137,"100,000,000","8,865,236,579"
138,"100,000,000","8,965,236,579"
139,"100,000,000","9,065,236,579"
140,"100,000,000","9,165,236,579"
141,"100,000,000","9,265,236,579"
142,"100,000,000","9,365,236,579"
143,"100,000,000","9,465,236,579"
144,"100,000,000","9,565,236,579"
145,"100,000,000","9,665,236,579"
146,"100,000,000","9,765,236,579"
147,"100,000,000","9,865,236,579"
148,"100,000,000","9,965,236,579"
149,"100,000,000","10,065,236,579"
150,"100,000,000","10,165,236,579"
151,"100,000,000","10,265,236,579"
152,"100,000,000","10,365,236,579"
153,"100,000,000","10,465,236,579"
154,"100,000,000","10,565,236,579"
155,"100,000,000","10,665,236,579"
156,"100,000,000","10,765,236,579"
157,"100,000,000","10,865,236,579"
158,"100,000,000","10,965,236,579"
159,"100,000,000","11,065,236,579"
160,"100,000,000","11,165,236,579"
161,"100,000,000","11,265,236,579"
162,"100,000,000","11,365,236,579"
163,"100,000,000","11,465,236,579"
164,"100,000,000","11,565,236,579"
165,"100,000,000","11,665,236,579"
166,"100,000,000","11,765,236,579"
167,"100,000,000","11,865,236,579"
168,"100,000,000","11,965,236,579"
169,"100,000,000","12,065,236,579"
170,"100,000,000","12,165,236,579"
171,"100,000,000","12,265,236,579"
172,"100,000,000","12,365,236,579"
173,"100,000,000","12,465,236,579"
174,"100,000,000","12,565,236,579"
175,"100,000,000","12,665,236,579"
176,"100,000,000","12,765,236,579"
177,"100,000,000","12,865,236,579"
178,"100,000,000","12,965,236,579"
179,"100,000,000","13,065,236,579"
180,"100,000,000","13,165,236,579"
181,"100,000,000","13,265,236,579"
182,"100,000,000","13,365,236,579"
183,"100,000,000","13,465,236,579"
184,"100,000,000","13,565,236,579"
185,"100,000,000","13,665,236,579"
186,"100,000,000","13,765,236,579"
187,"100,000,000","13,865,236,579"
188,"100,000,000","13,965,236,579"
189,"100,000,000","14,065,236,579"
190,"100,000,000","14,165,236,579"
191,"100,000,000","14,265,236,579"
192,"100,000,000","14,365,236,579"
193,"100,000,000","14,465,236,579"
194,"100,000,000","14,565,236,579"
195,"100,000,000","14,665,236,579"
196,"100,000,000","14,765,236,579"
197,"100,000,000","14,865,236,579"
198,"100,000,000","14,965,236,579"
199,"100,000,000","15,065,236,579"
200,"100,000,000","15,165,236,579"
201,"100,000,000","15,265,236,579"
202,"100,000,000","15,365,236,579"
203,"100,000,000","15,465,236,579"
204,"100,000,000","15,565,236,579"
205,"100,000,000","15,665,236,579"
206,"100,000,000","15,765,236,579"
207,"100,000,000","15,865,236,579"
208,"100,000,000","15,965,236,579"
209,"100,000,000","16,065,236,579"
210,"100,000,000","16,165,236,579"
211,"100,000,000","16,265,236,579"
212,"100,000,000","16,365,236,579"
213,"100,000,000","16,465,236,579"
214,"100,000,000","16,565,236,579"
215,"100,000,000","16,665,236,579"
216,"100,000,000","16,765,236,579"
217,"100,000,000","16,865,236,579"
218,"100,000,000","16,965,236,579"
219,"100,000,000","17,065,236,579"
220,"100,000,000","17,165,236,579"
221,"100,000,000","17,265,236,579"
222,"100,000,000","17,365,236,579"
223,"100,000,000","17,465,236,579"
224,"100,000,000","17,565,236,579"
225,"100,000,000","17,665,236,579"
226,"100,000,000","17,765,236,579"
227,"100,000,000","17,865,236,579"
228,"100,000,000","17,965,236,579"
229,"100,000,000","18,065,236,579"
230,"100,000,000","18,165,236,579"
231,"100,000,000","18,265,236,579"
232,"100,000,000","18,365,236,579"
233,"100,000,000","18,465,236,579"
234,"100,000,000","18,565,236,579"
235,"100,000,000","18,665,236,579"
236,"100,000,000","18,765,236,579"
237,"100,000,000","18,865,236,579"
238,"100,000,000","18,965,236,579"
239,"100,000,000","19,065,236,579"
240,"100,000,000","19,165,236,579"
241,"100,000,000","19,265,236,579"
242,"100,000,000","19,365,236,579"
243,"100,000,000","19,465,236,579"
244,"100,000,000","19,565,236,579"
245,"100,000,000","19,665,236,579"
246,"100,000,000","19,765,236,579"
247,"100,000,000","19,865,236,579"
248,"100,000,000","19,965,236,579"
249,"100,000,000","20,065,236,579"
250,"100,000,000","20,165,236,579"
251,"100,000,000","20,265,236,579"
252,"100,000,000","20,365,236,579"
253,"100,000,000","20,465,236,579"
254,"100,000,000","20,565,236,579"
255,"100,000,000","20,665,236,579"
256,"100,000,000","20,765,236,579"
257,"100,000,000","20,865,236,579"
258,"100,000,000","20,965,236,579"
259,"100,000,000","21,065,236,579"
260,"100,000,000","21,165,236,579"
261,"100,000,000","21,265,236,579"
262,"100,000,000","21,365,236,579"
263,"100,000,000","21,465,236,579"
264,"100,000,000","21,565,236,579"
265,"100,000,000","21,665,236,579"
266,"100,000,000","21,765,236,579"
267,"100,000,000","21,865,236,579"
268,"100,000,000","21,965,236,579"
269,"100,000,000","22,065,236,579"
270,"100,000,000","22,165,236,579"
271,"100,000,000","22,265,236,579"
272,"100,000,000","22,365,236,579"
273,"100,000,000","22,465,236,579"
274,"100,000,000","22,565,236,579"
275,"100,000,000","22,665,236,579"
276,"100,000,000","22,765,236,579"
277,"100,000,000","22,865,236,579"
278,"100,000,000","22,965,236,579"
279,"100,000,000","23,065,236,579"
280,"100,000,000","23,165,236,579"
281,"100,000,000","23,265,236,579"
282,"100,000,000","23,365,236,579"
283,"100,000,000","23,465,236,579"
284,"100,000,000","23,565,236,579"
285,"100,000,000","23,665,236,579"
286,"100,000,000","23,765,236,579"
287,"100,000,000","23,865,236,579"
288,"100,000,000","23,965,236,579"
289,"100,000,000","24,065,236,579"
290,"100,000,000","24,165,236,579"
291,"100,000,000","24,265,236,579"
292,"100,000,000","24,365,236,579"
293,"100,000,000","24,465,236,579"
294,"100,000,000","24,565,236,579"
295,"100,000,000","24,665,236,579"
296,"100,000,000","24,765,236,579"
297,"100,000,000","24,865,236,579"
298,"100,000,000","24,965,236,579"
299,"100,000,000","25,065,236,579"
300,"100,000,000","25,165,236,579"
301,"100,000,000","25,265,236,579"
302,"100,000,000","25,365,236,579"
303,"100,000,000","25,465,236,579"
304,"100,000,000","25,565,236,579"
305,"100,000,000","25,665,236,579"
306,"100,000,000","25,765,236,579"
307,"100,000,000","25,865,236,579"
308,"100,000,000","25,965,236,579"
309,"100,000,000","26,065,236,579"
310,"100,000,000","26,165,236,579"
311,"100,000,000","26,265,236,579"
312,"100,000,000","26,365,236,579"
313,"100,000,000","26,465,236,579"
314,"100,000,000","26,565,236,579"
315,"100,000,000","26,665,236,579"
316,"100,000,000","26,765,236,579"
317,"100,000,000","26,865,236,579"
318,"100,000,000","26,965,236,579"
319,"100,000,000","27,065,236,579"
320,"100,000,000","27,165,236,579"
321,"100,000,000","27,265,236,579"
322,"100,000,000","27,365,236,579"
323,"100,000,000","27,465,236,579"
324,"100,000,000","27,565,236,579"
325,"100,000,000","27,665,236,579"
326,"100,000,000","27,765,236,579"
327,"100,000,000","27,865,236,579"
328,"100,000,000","27,965,236,579"
329,"100,000,000","28,065,236,579"
330,"100,000,000","28,165,236,579"
331,"100,000,000","28,265,236,579"
332,"100,000,000","28,365,236,579"
333,"100,000,000","28,465,236,579"
334,"100,000,000","28,565,236,579"
335,"100,000,000","28,665,236,579"
336,"100,000,000","28,765,236,579"
337,"100,000,000","28,865,236,579"
338,"100,000,000","28,965,236,579"
339,"100,000,000","29,065,236,579"
340,"100,000,000","29,165,236,579"
341,"100,000,000","29,265,236,579"
342,"100,000,000","29,365,236,579"
343,"100,000,000","29,465,236,579"
344,"100,000,000","29,565,236,579"
345,"100,000,000","29,665,236,579"
346,"100,000,000","29,765,236,579"
347,"100,000,000","29,865,236,579"
348,"100,000,000","29,965,236,579"
349,"100,000,000","30,065,236,579"
350,"100,000,000","30,165,236,579"
351,"100,000,000","30,265,236,579"
352,"100,000,000","30,365,236,579"
353,"100,000,000","30,465,236,579"
354,"100,000,000","30,565,236,579"
355,"100,000,000","30,665,236,579"
356,"100,000,000","30,765,236,579"
357,"100,000,000","30,865,236,579"
358,"100,000,000","30,965,236,579"
359,"100,000,000","31,065,236,579"
360,"100,000,000","31,165,236,579"
361,"100,000,000","31,265,236,579"
362,"100,000,000","31,365,236,579"
363,"100,000,000","31,465,236,579"
364,"100,000,000","31,565,236,579"
365,"100,000,000","31,665,236,579"
366,"100,000,000","31,765,236,579"
367,"100,000,000","31,865,236,579"
368,"100,000,000","31,965,236,579"
369,"100,000,000","32,065,236,579"
370,"100,000,000","32,165,236,579"
371,"100,000,000","32,265,236,579"
372,"100,000,000","32,365,236,579"
373,"100,000,000","32,465,236,579"
374,"100,000,000","32,565,236,579"
375,"100,000,000","32,665,236,579"
376,"100,000,000","32,765,236,579"
377,"100,000,000","32,865,236,579"
378,"100,000,000","32,965,236,579"
379,"100,000,000","33,065,236,579"
380,"100,000,000","33,165,236,579"
381,"100,000,000","33,265,236,579"
382,"100,000,000","33,365,236,579"
383,"100,000,000","33,465,236,579"
384,"100,000,000","33,565,236,579"
385,"100,000,000","33,665,236,579"
386,"100,000,000","33,765,236,579"
387,"100,000,000","33,865,236,579"
388,"100,000,000","33,965,236,579"
389,"100,000,000","34,065,236,579"
390,"100,000,000","34,165,236,579"
391,"100,000,000","34,265,236,579"
392,"100,000,000","34,365,236,579"
393,"100,000,000","34,465,236,579"
394,"100,000,000","34,565,236,579"
395,"100,000,000","34,665,236,579"
396,"100,000,000","34,765,236,579"
397,"100,000,000","34,865,236,579"
398,"100,000,000","34,965,236,579"
399,"100,000,000","35,065,236,579"
400,"100,000,000","35,165,236,579"
401,"100,000,000","35,265,236,579"
402,"100,000,000","35,365,236,579"
403,"100,000,000","35,465,236,579"
404,"100,000,000","35,565,236,579"
405,"100,000,000","35,665,236,579"
406,"100,000,000","35,765,236,579"
407,"100,000,000","35,865,236,579"
408,"100,000,000","35,965,236,579"
409,"100,000,000","36,065,236,579"
410,"100,000,000","36,165,236,579"
411,"100,000,000","36,265,236,579"
412,"100,000,000","36,365,236,579"
413,"100,000,000","36,465,236,579"
414,"100,000,000","36,565,236,579"
415,"100,000,000","36,665,236,579"
416,"100,000,000","36,765,236,579"
417,"100,000,000","36,865,236,579"
418,"100,000,000","36,965,236,579"
419,"100,000,000","37,065,236,579"
420,"100,000,000","37,165,236,579"
421,"100,000,000","37,265,236,579"
422,"100,000,000","37,365,236,579"
423,"100,000,000","37,465,236,579"
424,"100,000,000","37,565,236,579"
425,"100,000,000","37,665,236,579"
426,"100,000,000","37,765,236,579"
427,"100,000,000","37,865,236,579"
428,"100,000,000","37,965,236,579"
429,"100,000,000","38,065,236,579"
430,"100,000,000","38,165,236,579"
431,"100,000,000","38,265,236,579"
432,"100,000,000","38,365,236,579"
433,"100,000,000","38,465,236,579"
434,"100,000,000","38,565,236,579"
435,"100,000,000","38,665,236,579"
436,"100,000,000","38,765,236,579"
437,"100,000,000","38,865,236,579"
438,"100,000,000","38,965,236,579"
439,"100,000,000","39,065,236,579"
440,"100,000,000","39,165,236,579"
441,"100,000,000","39,265,236,579"
442,"100,000,000","39,365,236,579"
443,"100,000,000","39,465,236,579"
444,"100,000,000","39,565,236,579"
445,"100,000,000","39,665,236,579"
446,"100,000,000","39,765,236,579"
447,"100,000,000","39,865,236,579"
448,"100,000,000","39,965,236,579"
449,"100,000,000","40,065,236,579"
450,"100,000,000","40,165,236,579"
451,"100,000,000","40,265,236,579"
452,"100,000,000","40,365,236,579"
453,"100,000,000","40,465,236,579"
454,"100,000,000","40,565,236,579"
455,"100,000,000","40,665,236,579"
456,"100,000,000","40,765,236,579"
457,"100,000,000","40,865,236,579"
458,"100,000,000","40,965,236,579"
459,"100,000,000","41,065,236,579"
460,"100,000,000","41,165,236,579"
461,"100,000,000","41,265,236,579"
462,"100,000,000","41,365,236,579"
463,"100,000,000","41,465,236,579"
464,"100,000,000","41,565,236,579"
465,"100,000,000","41,665,236,579"
466,"100,000,000","41,765,236,579"
467,"100,000,000","41,865,236,579"
468,"100,000,000","41,965,236,579"
469,"100,000,000","42,065,236,579"
470,"100,000,000","42,165,236,579"
471,"100,000,000","42,265,236,579"
472,"100,000,000","42,365,236,579"
473,"100,000,000","42,465,236,579"
474,"100,000,000","42,565,236,579"
475,"100,000,000","42,665,236,579"
476,"100,000,000","42,765,236,579"
477,"100,000,000","42,865,236,579"
478,"100,000,000","42,965,236,579"
479,"100,000,000","43,065,236,579"
480,"100,000,000","43,165,236,579"
481,"100,000,000","43,265,236,579"
482,"100,000,000","43,365,236,579"
483,"100,000,000","43,465,236,579"
484,"100,000,000","43,565,236,579"
485,"100,000,000","43,665,236,579"
486,"100,000,000","43,765,236,579"
487,"100,000,000","43,865,236,579"
488,"100,000,000","43,965,236,579"
489,"100,000,000","44,065,236,579"
490,"100,000,000","44,165,236,579"
491,"100,000,000","44,265,236,579"
492,"100,000,000","44,365,236,579"
493,"100,000,000","44,465,236,579"
494,"100,000,000","44,565,236,579"
495,"100,000,000","44,665,236,579"
496,"100,000,000","44,765,236,579"
497,"100,000,000","44,865,236,579"
498,"100,000,000","44,965,236,579"
499,"100,000,000","45,065,236,579"
500,"100,000,000","45,165,236,579"
501,"100,000,000","45,265,236,579"
502,"100,000,000","45,365,236,579"
503,"100,000,000","45,465,236,579"
504,"100,000,000","45,565,236,579"
505,"100,000,000","45,665,236,579"
506,"100,000,000","45,765,236,579"
507,"100,000,000","45,865,236,579"
508,"100,000,000","45,965,236,579"
509,"100,000,000","46,065,236,579"
510,"100,000,000","46,165,236,579"
511,"100,000,000","46,265,236,579"
512,"100,000,000","46,365,236,579"
513,"100,000,000","46,465,236,579"
514,"100,000,000","46,565,236,579"
515,"100,000,000","46,665,236,579"
516,"100,000,000","46,765,236,579"
517,"100,000,000","46,865,236,579"
518,"100,000,000","46,965,236,579"
519,"100,000,000","47,065,236,579"
520,"100,000,000","47,165,236,579"
521,"100,000,000","47,265,236,579"
522,"100,000,000","47,365,236,579"
523,"100,000,000","47,465,236,579"
524,"100,000,000","47,565,236,579"
525,"100,000,000","47,665,236,579"
526,"100,000,000","47,765,236,579"
527,"100,000,000","47,865,236,579"
528,"100,000,000","47,965,236,579"
529,"100,000,000","48,065,236,579"
530,"100,000,000","48,165,236,579"
531,"100,000,000","48,265,236,579"
532,"100,000,000","48,365,236,579"
533,"100,000,000","48,465,236,579"
534,"100,000,000","48,565,236,579"
535,"100,000,000","48,665,236,579"
536,"100,000,000","48,765,236,579"
537,"100,000,000","48,865,236,579"
538,"100,000,000","48,965,236,579"
539,"100,000,000","49,065,236,579"
540,"100,000,000","49,165,236,579"
541,"100,000,000","49,265,236,579"
542,"100,000,000","49,365,236,579"
543,"100,000,000","49,465,236,579"
544,"100,000,000","49,565,236,579"
545,"100,000,000","49,665,236,579"
546,"100,000,000","49,765,236,579"
547,"100,000,000","49,865,236,579"
548,"100,000,000","49,965,236,579"
549,"100,000,000","50,065,236,579"
550,"100,000,000","50,165,236,579"
551,"100,000,000","50,265,236,579"
552,"100,000,000","50,365,236,579"
553,"100,000,000","50,465,236,579"
554,"100,000,000","50,565,236,579"
555,"100,000,000","50,665,236,579"
556,"100,000,000","50,765,236,579"
557,"100,000,000","50,865,236,579"
558,"100,000,000","50,965,236,579"
559,"100,000,000","51,065,236,579"
560,"100,000,000","51,165,236,579"
561,"100,000,000","51,265,236,579"
562,"100,000,000","51,365,236,579"
563,"100,000,000","51,465,236,579"
564,"100,000,000","51,565,236,579"
565,"100,000,000","51,665,236,579"
566,"100,000,000","51,765,236,579"
567,"100,000,000","51,865,236,579"
568,"100,000,000","51,965,236,579"
569,"100,000,000","52,065,236,579"
570,"100,000,000","52,165,236,579"
571,"100,000,000","52,265,236,579"
572,"100,000,000","52,365,236,579"
573,"100,000,000","52,465,236,579"
574,"100,000,000","52,565,236,579"
575,"100,000,000","52,665,236,579"
576,"100,000,000","52,765,236,579"
577,"100,000,000","52,865,236,579"
578,"100,000,000","52,965,236,579"
579,"100,000,000","53,065,236,579"
580,"100,000,000","53,165,236,579"
581,"100,000,000","53,265,236,579"
582,"100,000,000","53,365,236,579"
583,"100,000,000","53,465,236,579"
584,"100,000,000","53,565,236,579"
585,"100,000,000","53,665,236,579"
586,"100,000,000","53,765,236,579"
587,"100,000,000","53,865,236,579"
588,"100,000,000","53,965,236,579"
589,"100,000,000","54,065,236,579"
590,"100,000,000","54,165,236,579"
591,"100,000,000","54,265,236,579"
592,"100,000,000","54,365,236,579"
593,"100,000,000","54,465,236,579"
594,"100,000,000","54,565,236,579"
595,"100,000,000","54,665,236,579"
596,"100,000,000","54,765,236,579"
597,"100,000,000","54,865,236,579"
598,"100,000,000","54,965,236,579"
599,"100,000,000","55,065,236,579"
600,"100,000,000","55,165,236,579"
601,"100,000,000","55,265,236,579"
602,"100,000,000","55,365,236,579"
603,"100,000,000","55,465,236,579"
604,"100,000,000","55,565,236,579"
605,"100,000,000","55,665,236,579"
606,"100,000,000","55,765,236,579"
607,"100,000,000","55,865,236,579"
608,"100,000,000","55,965,236,579"
609,"100,000,000","56,065,236,579"
610,"100,000,000","56,165,236,579"
611,"100,000,000","56,265,236,579"
612,"100,000,000","56,365,236,579"
613,"100,000,000","56,465,236,579"
614,"100,000,000","56,565,236,579"
615,"100,000,000","56,665,236,579"
616,"100,000,000","56,765,236,579"
617,"100,000,000","56,865,236,579"
618,"100,000,000","56,965,236,579"
619,"100,000,000","57,065,236,579"
620,"100,000,000","57,165,236,579"
621,"100,000,000","57,265,236,579"
622,"100,000,000","57,365,236,579"
623,"100,000,000","57,465,236,579"
624,"100,000,000","57,565,236,579"
625,"100,000,000","57,665,236,579"
626,"100,000,000","57,765,236,579"
627,"100,000,000","57,865,236,579"
628,"100,000,000","57,965,236,579"
629,"100,000,000","58,065,236,579"
630,"100,000,000","58,165,236,579"
631,"100,000,000","58,265,236,579"
632,"100,000,000","58,365,236,579"
633,"100,000,000","58,465,236,579"
634,"100,000,000","58,565,236,579"
635,"100,000,000","58,665,236,579"
636,"100,000,000","58,765,236,579"
637,"100,000,000","58,865,236,579"
638,"100,000,000","58,965,236,579"
639,"100,000,000","59,065,236,579"
640,"100,000,000","59,165,236,579"
641,"100,000,000","59,265,236,579"
642,"100,000,000","59,365,236,579"
643,"100,000,000","59,465,236,579"
644,"100,000,000","59,565,236,579"
645,"100,000,000","59,665,236,579"
646,"100,000,000","59,765,236,579"
647,"100,000,000","59,865,236,579"
648,"100,000,000","59,965,236,579"
649,"100,000,000","60,065,236,579"
650,"100,000,000","60,165,236,579"
651,"100,000,000","60,265,236,579"
652,"100,000,000","60,365,236,579"
653,"100,000,000","60,465,236,579"
654,"100,000,000","60,565,236,579"
655,"100,000,000","60,665,236,579"
656,"100,000,000","60,765,236,579"
657,"100,000,000","60,865,236,579"
658,"100,000,000","60,965,236,579"
659,"100,000,000","61,065,236,579"
660,"100,000,000","61,165,236,579"
661,"100,000,000","61,265,236,579"
662,"100,000,000","61,365,236,579"
663,"100,000,000","61,465,236,579"
664,"100,000,000","61,565,236,579"
665,"100,000,000","61,665,236,579"
666,"100,000,000","61,765,236,579"
667,"100,000,000","61,865,236,579"
668,"100,000,000","61,965,236,579"
669,"100,000,000","62,065,236,579"
670,"100,000,000","62,165,236,579"
671,"100,000,000","62,265,236,579"
672,"100,000,000","62,365,236,579"
673,"100,000,000","62,465,236,579"
674,"100,000,000","62,565,236,579"
675,"100,000,000","62,665,236,579"
676,"100,000,000","62,765,236,579"
677,"100,000,000","62,865,236,579"
678,"100,000,000","62,965,236,579"
679,"100,000,000","63,065,236,579"
680,"100,000,000","63,165,236,579"
681,"100,000,000","63,265,236,579"
682,"100,000,000","63,365,236,579"
683,"100,000,000","63,465,236,579"
684,"100,000,000","63,565,236,579"
685,"100,000,000","63,665,236,579"
686,"100,000,000","63,765,236,579"
687,"100,000,000","63,865,236,579"
688,"100,000,000","63,965,236,579"
689,"100,000,000","64,065,236,579"
690,"100,000,000","64,165,236,579"
691,"100,000,000","64,265,236,579"
692,"100,000,000","64,365,236,579"
693,"100,000,000","64,465,236,579"
694,"100,000,000","64,565,236,579"
695,"100,000,000","64,665,236,579"
696,"100,000,000","64,765,236,579"
697,"100,000,000","64,865,236,579"
698,"100,000,000","64,965,236,579"
699,"100,000,000","65,065,236,579"
700,"100,000,000","65,165,236,579"
701,"100,000,000","65,265,236,579"
702,"100,000,000","65,365,236,579"
703,"100,000,000","65,465,236,579"
704,"100,000,000","65,565,236,579"
705,"100,000,000","65,665,236,579"
706,"100,000,000","65,765,236,579"
707,"100,000,000","65,865,236,579"
708,"100,000,000","65,965,236,579"
709,"100,000,000","66,065,236,579"
710,"100,000,000","66,165,236,579"
711,"100,000,000","66,265,236,579"
712,"100,000,000","66,365,236,579"
713,"100,000,000","66,465,236,579"
714,"100,000,000","66,565,236,579"
715,"100,000,000","66,665,236,579"
716,"100,000,000","66,765,236,579"
717,"100,000,000","66,865,236,579"
718,"100,000,000","66,965,236,579"
719,"100,000,000","67,065,236,579"
720,"100,000,000","67,165,236,579"
721,"100,000,000","67,265,236,579"
722,"100,000,000","67,365,236,579"
723,"100,000,000","67,465,236,579"
724,"100,000,000","67,565,236,579"
725,"100,000,000","67,665,236,579"
726,"100,000,000","67,765,236,579"
727,"100,000,000","67,865,236,579"
728,"100,000,000","67,965,236,579"
729,"100,000,000","68,065,236,579"
730,"100,000,000","68,165,236,579"
731,"100,000,000","68,265,236,579"
732,"100,000,000","68,365,236,579"
733,"100,000,000","68,465,236,579"
734,"100,000,000","68,565,236,579"
735,"100,000,000","68,665,236,579"
736,"100,000,000","68,765,236,579"
737,"100,000,000","68,865,236,579"
738,"100,000,000","68,965,236,579"
739,"100,000,000","69,065,236,579"
740,"100,000,000","69,165,236,579"
741,"100,000,000","69,265,236,579"
742,"100,000,000","69,365,236,579"
743,"100,000,000","69,465,236,579"
744,"100,000,000","69,565,236,579"
745,"100,000,000","69,665,236,579"
746,"100,000,000","69,765,236,579"
747,"100,000,000","69,865,236,579"
748,"100,000,000","69,965,236,579"
749,"100,000,000","70,065,236,579"
750,"100,000,000","70,165,236,579"
751,"100,000,000","70,265,236,579"
752,"100,000,000","70,365,236,579"
753,"100,000,000","70,465,236,579"
754,"100,000,000","70,565,236,579"
755,"100,000,000","70,665,236,579"
756,"100,000,000","70,765,236,579"
757,"100,000,000","70,865,236,579"
758,"100,000,000","70,965,236,579"
759,"100,000,000","71,065,236,579"
760,"100,000,000","71,165,236,579"
761,"100,000,000","71,265,236,579"
762,"100,000,000","71,365,236,579"
763,"100,000,000","71,465,236,579"
764,"100,000,000","71,565,236,579"
765,"100,000,000","71,665,236,579"
766,"100,000,000","71,765,236,579"
767,"100,000,000","71,865,236,579"
768,"100,000,000","71,965,236,579"
769,"100,000,000","72,065,236,579"
770,"100,000,000","72,165,236,579"
771,"100,000,000","72,265,236,579"
772,"100,000,000","72,365,236,579"
773,"100,000,000","72,465,236,579"
774,"100,000,000","72,565,236,579"
775,"100,000,000","72,665,236,579"
776,"100,000,000","72,765,236,579"
777,"100,000,000","72,865,236,579"
778,"100,000,000","72,965,236,579"
779,"100,000,000","73,065,236,579"
780,"100,000,000","73,165,236,579"
781,"100,000,000","73,265,236,579"
782,"100,000,000","73,365,236,579"
783,"100,000,000","73,465,236,579"
784,"100,000,000","73,565,236,579"
785,"100,000,000","73,665,236,579"
786,"100,000,000","73,765,236,579"
787,"100,000,000","73,865,236,579"
788,"100,000,000","73,965,236,579"
789,"100,000,000","74,065,236,579"
790,"100,000,000","74,165,236,579"
791,"100,000,000","74,265,236,579"
792,"100,000,000","74,365,236,579"
793,"100,000,000","74,465,236,579"
